Marche;Laboratoire;Molecule;Marque;Dosage_en_mg;Nombre_UCD;DDD_en_mg_par_jour;Nombre_de_jours_de_traitement;Designation;PRO_CIP;Prix_de_vente_2013
DYSFONCTIONNEMENTERECTILE;LILLYFRANCESAS;TADALAFIL;CIALISONDEMAND;10;4;10;4;CIALIS10MGCOMPRIME4;3607984;60.47
DYSFONCTIONNEMENTERECTILE;MEDIWINLIMITED;TADALAFIL;CIALISONDEMAND;10;4;10;4;CIALIS10MGCOMPRIME4AIPMEDIWINLIMITED;4950460;61.09
DYSFONCTIONNEMENTERECTILE;LILLYFRANCESAS;TADALAFIL;CIALISONDEMAND;20;4;10;8;CIALIS20MGCOMPRIME4;3608009;59.40
DYSFONCTIONNEMENTERECTILE;MEDIWINLIMITED;TADALAFIL;CIALISONDEMAND;20;4;10;8;CIALIS20MGCOMPRIME4AIPMEDIWINLIMITED;4950477;56.74
DYSFONCTIONNEMENTERECTILE;LILLYFRANCESAS;TADALAFIL;CIALISONDEMAND;20;8;10;16;CIALIS20MGCOMPRIME8;3608015;95.32
DYSFONCTIONNEMENTERECTILE;LILLYFRANCESAS;TADALAFIL;CIALISONCEADAY;2.5;28;10;7;CIALIS2MG5COMPRIME28;3805431;101.48
DYSFONCTIONNEMENTERECTILE;LILLYFRANCESAS;TADALAFIL;CIALISONCEADAY;5;28;10;14;CIALIS5MGCOMPRIME28;3805454;92.11
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;10;4;10;4;LEVITRA10MGCOMPRIME4;3618321;32.86
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;10;8;10;8;LEVITRA10MGCOMPRIME8;3618338;55.17
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;10;4;10;4;LEVITRA10MGCOMPRIMEORODISPERSIBLE4;4941254;30.10
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;10;8;10;8;LEVITRA10MGCOMPRIMEORODISPERSIBLE8;4996031;51.74
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;20;12;10;24;LEVITRA20MGCOMPRIME12;3618396;116.01
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;20;20;10;40;LEVITRA20MGCOMPRIME20;2169476;171.17
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;20;4;10;8;LEVITRA20MGCOMPRIME4;3618367;50.62
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;20;8;10;16;LEVITRA20MGCOMPRIME8;3618373;92.58
DYSFONCTIONNEMENTERECTILE;BAYERSANTE;VARDENAFIL;LEVITRA;5;4;10;2;LEVITRA5MGCOMPRIME4;3618284;31.55
DYSFONCTIONNEMENTERECTILE;ACCORDHEALTHCARE;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILACCORD100MGCOMPRIME4;2180302;14.90
DYSFONCTIONNEMENTERECTILE;ACCORDHEALTHCARE;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILACCORD100MGCOMPRIME8;2180319;25.61
DYSFONCTIONNEMENTERECTILE;ACCORDHEALTHCARE;SILDENAFIL;SILDENAFILGx;25;8;50;4;SILDENAFILACCORD25MGCOMPRIME8;2180236;14.00
DYSFONCTIONNEMENTERECTILE;ACCORDHEALTHCARE;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILACCORD50MGCOMPRIME4;2180265;13.03
DYSFONCTIONNEMENTERECTILE;ACCORDHEALTHCARE;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILACCORD50MGCOMPRIME8;2180271;22.36
DYSFONCTIONNEMENTERECTILE;ACTAVIS;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILACTAVIS100MGCOMPRIME4;2697005;33.52
DYSFONCTIONNEMENTERECTILE;ACTAVIS;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILACTAVIS100MGCOMPRIME8;2697011;48.34
DYSFONCTIONNEMENTERECTILE;ACTAVIS;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILACTAVIS50MGCOMPRIME4;2696951;21.87
DYSFONCTIONNEMENTERECTILE;ACTAVIS;SILDENAFIL;SILDENAFILGx;50;8;50;8;SILDENAFILACTAVIS50MGCOMPRIME8;2696968;30.65
DYSFONCTIONNEMENTERECTILE;BIOGARAN;SILDENAFIL;SILDENAFILGx;100;12;50;24;SILDENAFILBIOGARAN100MGCOMPRIME12;2688087;55.21
DYSFONCTIONNEMENTERECTILE;BIOGARAN;SILDENAFIL;SILDENAFILGx;100;4;50;8;SILDENAFILBIOGARAN100MGCOMPRIME4;2688064;25.96
DYSFONCTIONNEMENTERECTILE;BIOGARAN;SILDENAFIL;SILDENAFILGx;100;8;50;16;SILDENAFILBIOGARAN100MGCOMPRIME8;2688070;40.86
DYSFONCTIONNEMENTERECTILE;BIOGARAN;SILDENAFIL;SILDENAFILGx;50;12;50;12;SILDENAFILBIOGARAN50MGCOMPRIME12;2688035;45.94
DYSFONCTIONNEMENTERECTILE;BIOGARAN;SILDENAFIL;SILDENAFILGx;50;4;50;4;SILDENAFILBIOGARAN50MGCOMPRIME4;2688012;24.28
